iter	Passed	Remaining
0	50	50738
1	51	25652
2	51	17264
3	52	13071
4	53	10555
5	53	8897
6	54	7692
7	54	6803
8	77	8563
9	78	7775
10	79	7140
11	80	6606
12	81	6154
13	81	5768
14	82	5435
15	83	5140
16	84	4880
17	85	4646
18	110	5685
19	111	5471
20	112	5248
21	113	5037
22	114	4844
23	114	4665
24	115	4501
25	116	4349
26	116	4207
27	117	4075
28	118	3953
29	154	4982
30	154	4833
31	155	4692
32	155	4557
33	156	4433
34	156	4314
35	156	4202
36	157	4097
37	157	3996
38	158	3901
39	158	3811
40	159	3726
41	159	3645
42	160	3569
43	160	3497
44	161	3427
45	162	3361
46	162	3297
47	163	3237
48	163	3179
49	164	3122
50	164	3068
51	165	3016
52	165	2965
53	166	2917
54	167	2870
55	167	2826
56	168	2781
57	168	2738
58	169	2697
59	169	2657
60	170	2618
61	170	2581
62	171	2544
63	171	2509
64	172	2475
65	172	2442
66	173	2410
67	173	2379
68	174	2349
69	174	2320
70	175	2292
71	175	2264
72	176	2237
73	176	2210
74	177	2185
75	177	2159
76	178	2135
77	178	2111
78	179	2088
79	179	2065
80	180	2042
81	180	2020
82	180	1996
83	181	1975
84	181	1955
85	182	1936
86	182	1916
87	183	1897
88	183	1879
89	184	1861
90	184	1843
91	185	1826
92	185	1808
93	185	1792
94	186	1776
95	186	1760
96	187	1744
97	187	1728
98	188	1713
99	188	1699
100	189	1684
101	189	1670
102	190	1656
103	190	1642
104	191	1629
105	191	1616
106	192	1603
107	192	1590
108	193	1578
109	193	1566
110	194	1554
111	194	1542
112	194	1530
113	195	1518
114	195	1507
115	196	1496
116	196	1484
117	197	1474
118	197	1463
119	198	1453
120	198	1443
121	199	1432
122	199	1422
123	199	1412
124	200	1403
125	200	1393
126	201	1383
127	201	1374
128	202	1365
129	202	1357
130	203	1348
131	203	1340
132	204	1332
133	204	1324
134	205	1316
135	206	1308
136	206	1301
137	207	1293
138	207	1286
139	208	1279
140	208	1272
141	209	1263
142	209	1258
143	210	1251
144	211	1248
145	212	1242
146	213	1236
147	213	1230
148	214	1225
149	215	1220
150	216	1214
151	216	1210
152	217	1205
153	218	1199
154	219	1194
155	219	1189
156	220	1183
157	221	1178
158	221	1173
159	222	1167
160	222	1161
161	223	1155
162	223	1150
163	224	1144
164	225	1139
165	226	1135
166	226	1131
167	227	1127
168	228	1122
169	228	1117
170	229	1112
171	229	1106
172	230	1101
173	231	1096
174	231	1091
175	232	1086
176	232	1081
177	233	1077
178	233	1072
179	234	1067
180	234	1062
181	235	1057
182	236	1054
183	236	1049
184	237	1045
185	237	1040
186	238	1035
187	238	1031
188	239	1027
189	239	1022
190	240	1017
191	240	1013
192	241	1010
193	242	1007
194	243	1004
195	244	1000
196	244	997
197	245	993
198	246	990
199	246	987
200	247	984
201	248	981
